id,title,disease_general,disease,pubmed,source_database,access_link,open_status,ethnicity,sex,tissue,sequencing_platform,experiment_design,sample_type,summary,citation_count,publication_date,submission_date,last_update_date,contact_name,contact_email,contact_institute,data_tier,tissue_location,supplementary_information,cell_count,organism,doi,development_stage
ALLEN_data_product_496202788,,normal,healthy control,,Allen Brain Map API (data_product),https://portal.brain-map.org/explore/rnaseq/496202788,public,,,brain,,data_product,single cell,,0,,,,Allen Institute for Brain Science,support@brain-map.org,Allen Institute,processed_matrix,brain,"{""attachable_id"": 496100384, ""attachable_type"": ""RnaseqProfile"", ""download_link"": ""/api/v2/well_known_file_download/496202788"", ""id"": 496202788, ""path"": ""/external/tbi/prod17/Rnaseq_Analysis_Run_496100384/ar_496100384.genes.results"", ""well_known_file_type_id"": 267380639}",,,,
ALLEN_data_product_280140192,,normal,healthy control,,Allen Brain Map API (data_product),https://portal.brain-map.org/explore/rnaseq/280140192,public,,,brain,,data_product,single cell,,0,,,,Allen Institute for Brain Science,support@brain-map.org,Allen Institute,processed_matrix,brain,"{""attachable_id"": 707266, ""attachable_type"": ""Specimen"", ""download_link"": ""/api/v2/well_known_file_download/280140192"", ""id"": 280140192, ""path"": ""/external/devhuman/prod22/specimen_707266/HSB_96_V1C_R_RNASeq_Exon.txt"", ""well_known_file_type_id"": 121134334}",,,,
ALLEN_data_product_519922140,,normal,healthy control,,Allen Brain Map API (data_product),https://portal.brain-map.org/explore/rnaseq/519922140,public,,,brain,,data_product,single cell,,0,,,,Allen Institute for Brain Science,support@brain-map.org,Allen Institute,processed_matrix,brain,"{""attachable_id"": 519765304, ""attachable_type"": ""RnaseqProfile"", ""download_link"": ""/api/v2/well_known_file_download/519922140"", ""id"": 519922140, ""path"": ""/external/mousecelltypes/prod14/Single_Cell_Analysis_Run_519765304/ar_519765304.genes.results"", ""well_known_file_type_id"": 267380639}",,,,
ALLEN_data_product_510419754,,normal,healthy control,,Allen Brain Map API (data_product),https://portal.brain-map.org/explore/rnaseq/510419754,public,,,brain,,data_product,single cell,,0,,,,Allen Institute for Brain Science,support@brain-map.org,Allen Institute,processed_matrix,brain,"{""attachable_id"": 510239578, ""attachable_type"": ""RnaseqProfile"", ""download_link"": ""/api/v2/well_known_file_download/510419754"", ""id"": 510419754, ""path"": ""/external/mousecelltypes/prod9/Single_Cell_Analysis_Run_510239578/ar_510239578.genes.results"", ""well_known_file_type_id"": 267380639}",,,,
ALLEN_data_product_502908758,,normal,healthy control,,Allen Brain Map API (data_product),https://portal.brain-map.org/explore/rnaseq/502908758,public,,,brain,,data_product,single cell,,0,,,,Allen Institute for Brain Science,support@brain-map.org,Allen Institute,processed_matrix,brain,"{""attachable_id"": 502832907, ""attachable_type"": ""RnaseqProfile"", ""download_link"": ""/api/v2/well_known_file_download/502908758"", ""id"": 502908758, ""path"": ""/external/mousecelltypes/prod7/Single_Cell_Analysis_Run_502832907/ar_502832907.genes.results"", ""well_known_file_type_id"": 267380639}",,,,
ALLEN_data_product_531072787,,normal,healthy control,,Allen Brain Map API (data_product),https://portal.brain-map.org/explore/rnaseq/531072787,public,,,brain,,data_product,single cell,,0,,,,Allen Institute for Brain Science,support@brain-map.org,Allen Institute,processed_matrix,brain,"{""attachable_id"": 530880912, ""attachable_type"": ""RnaseqProfile"", ""download_link"": ""/api/v2/well_known_file_download/531072787"", ""id"": 531072787, ""path"": ""/external/mousecelltypes/prod27/Single_Cell_Analysis_Run_530880912/ar_530880912.genes.results"", ""well_known_file_type_id"": 267380639}",,,,
ALLEN_data_product_524156698,,normal,healthy control,,Allen Brain Map API (data_product),https://portal.brain-map.org/explore/rnaseq/524156698,public,,,brain,,data_product,single cell,,0,,,,Allen Institute for Brain Science,support@brain-map.org,Allen Institute,processed_matrix,brain,"{""attachable_id"": 523912283, ""attachable_type"": ""RnaseqProfile"", ""download_link"": ""/api/v2/well_known_file_download/524156698"", ""id"": 524156698, ""path"": ""/external/mousecelltypes/prod18/Single_Cell_Analysis_Run_523912283/ar_523912283.genes.results"", ""well_known_file_type_id"": 267380639}",,,,
ALLEN_data_product_497275023,,normal,healthy control,,Allen Brain Map API (data_product),https://portal.brain-map.org/explore/rnaseq/497275023,public,,,brain,,data_product,single cell,,0,,,,Allen Institute for Brain Science,support@brain-map.org,Allen Institute,processed_matrix,brain,"{""attachable_id"": 497122223, ""attachable_type"": ""RnaseqProfile"", ""download_link"": ""/api/v2/well_known_file_download/497275023"", ""id"": 497275023, ""path"": ""/external/mousecelltypes/prod4/Single_Cell_Analysis_Run_497122223/ar_497122223.genes.results"", ""well_known_file_type_id"": 267380639}",,,,
ALLEN_data_product_531192678,,normal,healthy control,,Allen Brain Map API (data_product),https://portal.brain-map.org/explore/rnaseq/531192678,public,,,brain,,data_product,single cell,,0,,,,Allen Institute for Brain Science,support@brain-map.org,Allen Institute,processed_matrix,brain,"{""attachable_id"": 531021945, ""attachable_type"": ""RnaseqProfile"", ""download_link"": ""/api/v2/well_known_file_download/531192678"", ""id"": 531192678, ""path"": ""/external/mousecelltypes/prod27/Single_Cell_Analysis_Run_531021945/ar_531021945.genes.results"", ""well_known_file_type_id"": 267380639}",,,,
ALLEN_data_product_497532707,,normal,healthy control,,Allen Brain Map API (data_product),https://portal.brain-map.org/explore/rnaseq/497532707,public,,,brain,,data_product,single cell,,0,,,,Allen Institute for Brain Science,support@brain-map.org,Allen Institute,processed_matrix,brain,"{""attachable_id"": 497123925, ""attachable_type"": ""RnaseqProfile"", ""download_link"": ""/api/v2/well_known_file_download/497532707"", ""id"": 497532707, ""path"": ""/external/mousecelltypes/prod5/Single_Cell_Analysis_Run_497123925/ar_497123925.genes.results"", ""well_known_file_type_id"": 267380639}",,,,
