"","B_cell_Exhausted_B_cells","B_cell_Germinal_center_B_cells","B_cell_Intermediate_monocytes","B_cell_Memory_B_cells","B_cell_Myeloid_dendritic_cells","B_cell_Naive_B_cells","B_cell_Non_switched_memory_B_cells","B_cell_Plasma_cells","B_cell_Plasmablasts","B_cell_Plasmacytoid_dendritic_cells","Endothelial_cells_Lymphatic_endothelial","Endothelial_cells_Myeloid_dendritic_cells","Endothelial_cells_Progenitor_cells","Endothelial_cells_Tip_cells","Endothelial_cells_Vascular_endothelial","Epithelial_cells_Basal_epithelial","Epithelial_cells_Classical_monocytes","Epithelial_cells_Intermediate_monocytes","Epithelial_cells_Luminal_epithelial","Epithelial_cells_Myeloid_dendritic_cells","Epithelial_cells_Non_classical_monocytes","Epithelial_cells_Plasmablasts","Epithelial_cells_Secretory_epithelial","Fibroblasts_CAFs","Fibroblasts_Classical_monocytes","Fibroblasts_Myeloid_dendritic_cells","Fibroblasts_Myofibroblasts","Fibroblasts_Normal_fibroblasts","Fibroblasts_Progenitor_cells","Myeloid_Classical_monocytes","Myeloid_Classical_Monocytes","Myeloid_Dendritic_cells","Myeloid_Intermediate_monocytes","Myeloid_Intermediate_Monocytes","Myeloid_Low_density_basophils","Myeloid_M1_Macrophages","Myeloid_M2_Macrophages","Myeloid_Myeloid_dendritic_cells","Myeloid_Neutrophils","Myeloid_Non_classical_Monocytes","Myeloid_Plasmacytoid_DC","Myeloid_Plasmacytoid_dendritic_cells","NK_cell_CD56bright_NK","NK_cell_CD56dim_NK","NK_cell_Low_density_basophils","NK_cell_Natural_killer_cells","NK_cell_NK_cells","NK_cell_Terminal_effector_CD8_T_cells","Other","T_cells_CD4_T_cells","T_cells_CD8_T_cells","T_cells_Central_memory_CD8_T_cells","T_cells_Effector_memory_CD8_T_cells","T_cells_Effector_T_cells","T_cells_Exhausted_T_cells","T_cells_gamma_delta_T_cells","T_cells_MAIT_cells","T_cells_Memory_T_cells","T_cells_Myeloid_dendritic_cells","T_cells_Natural_killer_cells","T_cells_Regulatory_T_cells","T_cells_T_regulatory_cells","T_cells_Terminal_effector_CD8_T_cells","T_cells_Th1_cells","T_cells_Th1_Th17_cells","T_cells_Th17_cells","T_cells_Th2_cells","T_cells_Vd2_gd_T_cells","B_cell_Switched_memory_B_cells","Endothelial_cells_Intermediate_monocytes","NK_cell_Exhausted_B_cells","NK_cell_Myeloid_dendritic_cells","NK_cell_Non_Vd2_gd_T_cells","T_cells_Exhausted_B_cells","T_cells_Non_Vd2_gd_T_cells","T_cells_Switched_memory_B_cells","Epithelial_cells_Natural_killer_cells","Myeloid_Low_density_neutrophils","NK_cell_Plasmablasts","T_cells_Low_density_basophils","T_cells_Plasmablasts","B_cell_Th1_cells","Endothelial_cells_Classical_monocytes","Endothelial_cells_Th1_cells","Epithelial_cells_Th1_cells","Fibroblasts_Th1_cells","Myeloid_Central_memory_CD8_T_cells","NK_cell_Central_memory_CD8_T_cells","NK_cell_MAIT_cells","NK_cell_Th1_cells","NK_cell_Vd2_gd_T_cells","T_cells_Intermediate_monocytes","Endothelial_cells_Non_classical_monocytes","Endothelial_cells_Natural_killer_cells","Fibroblasts_Intermediate_monocytes","B_cell_Natural_killer_cells","NK_cell_Intermediate_monocytes","T_cells_Plasmacytoid_dendritic_cells","NK_cell_Effector_memory_CD8_T_cells","B_cell_Classical_monocytes","B_cell_Non_classical_monocytes","Endothelial_cells_Plasmacytoid_dendritic_cells","Epithelial_cells_Low_density_neutrophils","Epithelial_cells_Plasmacytoid_dendritic_cells","Epithelial_cells_Progenitor_cells","Fibroblasts_Exhausted_B_cells","Fibroblasts_Non_classical_monocytes","Fibroblasts_Plasmacytoid_dendritic_cells","T_cells_Progenitor_cells","Myeloid_Plasmablasts","T_cells_Non_classical_monocytes","B_cell_Progenitor_cells","Myeloid_Progenitor_cells","T_cells_Naive_CD4_T_cells"
"BC",429,357,49,8135,2763,5419,2112,10003,98,218,1025,2832,370,1549,20024,12261,141,55,72066,9193,377,1998,6837,543,423,2280,4942,30160,356,70,13266,3820,2499,5622,915,3979,6630,2966,925,6591,1882,16,979,911,185,3875,10629,418,57458,30473,28786,299,970,12481,5982,4602,13002,9826,64,277,12179,303,100,6797,200,1292,3647,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COADREAD",315,1256,0,7520,468,15847,218,33814,357,139,426,378,52,254,4125,15,10,0,85518,815,0,0,375,91,262,284,835,6915,0,94,19641,4977,0,2474,1299,5732,1552,1252,762,2442,2182,9,1010,929,612,2134,14266,0,11252,26763,17736,0,22,18560,4459,6296,23580,13609,359,718,10833,0,0,5388,47,1487,2773,0,2770,7,143,129,244,80,206,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESCA",16,232,165,1167,0,698,288,1633,65,19,0,0,0,0,0,534,0,68,506,37,0,0,99,0,0,0,0,0,0,91,8778,1808,33,768,0,2542,1280,894,258,1179,442,0,579,147,252,262,5338,376,201,4094,5144,0,326,13441,1057,569,1748,2150,15,0,4549,227,0,1121,96,229,943,0,102,0,0,109,0,0,0,0,23,55,18,10,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GBM",0,26,0,143,169,9,0,211,0,0,15,210,0,108,53,37,0,0,1050,264,2,0,110,23,0,284,37,112,0,63,10151,416,3423,10857,0,5998,2100,108,906,11930,731,0,898,103,0,84,390,0,18601,563,1646,712,0,451,744,91,812,1279,0,0,773,0,0,736,0,432,80,0,0,5,0,0,0,0,0,0,0,0,0,0,0,691,33,138,55,127,1241,737,622,304,249,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HNSC",371,2302,0,34398,1193,13319,339,8845,24,213,946,77,14,2258,4373,10587,500,0,10869,2120,0,0,1824,32,327,19,185,2174,0,19,4701,2259,187,1206,228,1902,477,810,268,1083,1107,4,297,199,156,519,3985,41,5962,14638,26704,0,384,13306,4632,1571,6280,14505,356,228,16683,426,0,3138,275,1120,2368,0,1022,81,0,34,0,18,0,144,0,0,0,0,0,0,650,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIRC",4,166,312,2816,433,1522,488,673,0,7,589,393,5,1974,7657,1,18,136,2920,579,0,0,263,9,18,75,114,199,0,5,8582,4210,267,5222,0,4675,3523,1241,409,9357,1491,0,730,272,38,887,5872,0,24840,4689,3062,0,12,887,568,283,2033,1222,6,96,697,2,9,745,0,76,126,0,0,659,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,81,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LC",0,2,0,1,27,11,0,94,4,0,0,0,0,0,0,4,0,0,21,41,0,0,0,4,8,20,11,15,0,17,221,0,0,73,0,24,4,21,26,22,23,0,0,0,0,0,0,0,419,42,67,0,8,54,24,28,37,38,0,0,47,0,0,63,0,0,53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LIHC",173,81,0,662,1169,1786,370,2870,0,69,1512,1967,0,3844,10297,0,20,0,1008,127,0,0,300,84,14,4,603,669,196,166,6972,3577,250,3801,105,4532,2649,1692,893,9141,1076,10,519,954,47,2136,17482,0,143412,13433,10506,0,0,6946,2689,3005,12348,5051,104,751,4597,0,0,2105,0,202,2078,0,50,2518,0,41,0,0,930,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,23,0,0,5,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUAD",0,946,15333,6163,14515,15095,2,16143,0,175,791,1203,0,1045,9904,906,147,359,56871,6560,0,0,25597,102,408,1160,854,3190,0,9600,118507,13621,25635,7512,177,14858,18355,8027,3115,25210,3531,306,1051,4322,127,11552,31546,459,23227,54409,31804,0,794,32238,8000,10238,38241,22425,1400,10679,16123,71,0,8225,152,968,6596,0,2061,1348,0,3250,0,0,152,226,0,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,53,0,710,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUSC",0,115,0,746,5612,1686,1993,3244,0,105,71,133,175,214,1076,11811,4180,140,21636,2600,0,0,4371,13,76,431,271,2120,0,4160,19061,1634,21,2421,0,2538,2175,3342,1024,3255,607,5,803,289,441,2004,3700,163,11995,8630,5815,0,574,4372,2022,1000,5056,5859,12,240,3164,16,0,1742,193,348,1269,1150,223,149,0,58,0,0,11,39,0,271,0,0,0,0,124,0,0,0,0,0,33,0,0,91,0,0,13,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
