"","B_cell","Endothelial_cells","Epithelial_cells","Fibroblasts","Myeloid","NK_cell","Other","T_cells"
"BC",29583,25800,102928,38704,49181,16997,57458,131686
"COADREAD",62704,5242,86733,8387,42416,19467,11252,133037
"ESCA",4385,39,1267,33,18128,7081,129,35745
"GBM",1249,562,1518,583,47924,3387,18601,8386
"HNSC",62026,8597,25900,2737,14251,5231,5962,106776
"KIRC",6421,11358,3917,490,38982,7912,24840,14513
"LC",139,35,66,58,432,45,339,461
"LIHC",7263,20183,1455,1575,34864,21179,143412,64768
"LUAD",70433,14291,90440,5767,249679,53017,23227,243061
"LUSC",13724,1942,44738,2924,40514,7794,11995,41603
"Melan",3258,2236,4137,8120,11290,1213,64270,14628
"NB",2395,553,43,606,7634,1765,119845,14139
"OV",2957,5655,50277,23159,16872,3728,47617,10356
"PAAD",6856,10013,56842,6122,31820,4768,19728,21725
"PRAD",2177,5437,25225,606,7042,1730,4956,8154
"STAD",14865,1760,9218,991,8648,4787,1356,29316
