"Cancer_Type","Gini_Coefficient","N_Cell_Types","Mean_Major_Purity","N_Samples","SingleR_Consistency"
"BC",0.708135390727034,68,0.590019358318645,7,1
"COADREAD",0.764446279593691,65,0.691714364863086,9,1
"ESCA",0.723666958829442,54,0.675996276292298,1,1
"GBM",0.788502111916916,58,0.477011237308796,5,1
"HNSC",0.738240111005367,67,0.577370301091861,6,1
"KIRC",0.753191313076219,63,0.571198697189637,4,1
"LC",0.606649029982363,36,0.662401124986922,1,1
"LIHC",0.813784792334311,62,0.539739135851297,7,1
"LUAD",0.684628663712322,69,0.549712045605954,11,1
"LUSC",0.693461048314166,70,0.540534627825795,9,1
"Melan",0.836067288429591,72,0.477422073309459,5,1
"NB",0.912755637021444,51,0.653063243888873,1,1
"OV",0.769846026338344,57,0.480023979863367,5,1
"PAAD",0.769204263185539,65,0.620124995701344,5,1
"PRAD",0.720557516479941,63,0.524929081291926,3,1
"STAD",0.67207844077003,60,0.613675732325701,2,1
